directFractionalCadence,directTimestamp,sumDistance,directCorrectedElevation,directHeartRate,directDoubleCadence,directLongitude,sumElapsedDuration,directSpeed,directElevation,directUncorrectedElevation,sumMovingDuration,directLatitude,directRunCadence,sumDuration,directVerticalSpeed,elapsed_s
0.0,1787872273000.0,293.260009765625,86.80000305175781,125.0,144.0,106.89300768077374,210.0,1.3250000476837158,86.80000305175781,103.0,202.0,-6.4318697433918715,72.0,210.0,-0.04899999871850014,210.0
0.0,1787872276000.0,297.489990234375,86.5999984741211,125.0,144.0,106.89299435354769,213.0,1.3250000476837158,86.5999984741211,102.80000305175781,205.0,-6.431906204670668,72.0,213.0,-0.02800000086426735,213.0
0.0,1787872279000.0,300.8999938964844,86.5999984741211,125.0,142.0,106.89297918230295,216.0,1.3250000476837158,86.5999984741211,102.19999694824219,208.0,-6.431932356208563,71.0,216.0,0.003000000026077032,216.0
0.0,1787872280000.0,302.9200134277344,86.80000305175781,125.0,144.0,106.89297113567591,217.0,1.3250000476837158,86.80000305175781,102.0,209.0,-6.431948784738779,72.0,217.0,0.08799999952316284,217.0
0.5,1787872289000.0,315.4700012207031,87.4000015258789,125.0,145.0,106.89292813651264,226.0,1.3530000448226929,87.4000015258789,101.80000305175781,218.0,-6.432053642347455,72.0,226.0,0.05900000035762787,226.0
0.5,1787872293000.0,319.8399963378906,87.5999984741211,126.0,141.0,106.89291103743017,230.0,1.3530000448226929,87.5999984741211,101.80000305175781,222.0,-6.4320900198072195,70.0,230.0,0.04800000041723251,230.0
0.0,1787872296000.0,323.8999938964844,87.5999984741211,125.0,142.0,106.89290508627892,233.0,1.343999981880188,87.5999984741211,101.80000305175781,225.0,-6.4321256428956985,71.0,233.0,0.05000000074505806,233.0
0.5,1787872304000.0,335.5,88.0,127.0,147.0,106.89286862500012,241.0,1.343999981880188,88.0,102.19999694824219,233.0,-6.432224046438932,73.0,241.0,0.052000001072883606,241.0
0.5,1787872313000.0,349.5799865722656,88.5999984741211,125.0,145.0,106.89282562583685,250.0,1.3530000448226929,88.5999984741211,101.19999694824219,242.0,-6.432342734187841,72.0,250.0,0.04699999839067459,250.0
0.5,1787872319000.0,357.1099853515625,88.80000305175781,124.0,145.0,106.89280106686056,256.0,1.3619999885559082,88.80000305175781,100.4000015258789,248.0,-6.432405011728406,72.0,256.0,0.03700000047683716,256.0
0.5,1787872320000.0,358.6199951171875,88.80000305175781,124.0,147.0,106.8927972111851,257.0,1.3619999885559082,88.80000305175781,100.0,249.0,-6.432418171316385,73.0,257.0,0.04699999839067459,257.0
0.0,1787872324000.0,363.7099914550781,89.0,128.0,146.0,106.89278044737875,261.0,1.3619999885559082,89.0,99.19999694824219,253.0,-6.432460751384497,73.0,261.0,0.03799999877810478,261.0
0.0,1787872326000.0,366.3800048828125,89.0,131.0,146.0,106.89276552759111,263.0,1.3619999885559082,89.0,99.4000015258789,255.0,-6.432479778304696,73.0,263.0,0.03400000184774399,263.0
0.0,1787872327000.0,367.9599914550781,89.0,131.0,146.0,106.89275672659278,264.0,1.3619999885559082,89.0,99.5999984741211,256.0,-6.4324914291501045,73.0,264.0,0.07900000363588333,264.0
0.0,1787872328000.0,369.0400085449219,89.19999694824219,131.0,146.0,106.89275329001248,265.0,1.3619999885559082,89.19999694824219,99.80000305175781,257.0,-6.43250048160553,73.0,265.0,0.06499999761581421,265.0
0.0,1787872330000.0,371.67999267578125,89.19999694824219,131.0,146.0,106.8927417229861,267.0,1.3530000448226929,89.19999694824219,100.4000015258789,259.0,-6.432521939277649,73.0,267.0,0.07699999958276749,267.0
0.0,1787872334000.0,376.3999938964844,89.5999984741211,130.0,146.0,106.89273183234036,271.0,1.3530000448226929,89.5999984741211,101.0,263.0,-6.4325641840696335,73.0,271.0,0.07599999755620956,271.0
0.0,1787872335000.0,377.739990234375,89.5999984741211,130.0,146.0,106.89272923395038,272.0,1.343999981880188,89.5999984741211,101.0,264.0,-6.432576002553105,73.0,272.0,0.08500000089406967,272.0
0.0,1787872343000.0,387.5799865722656,90.19999694824219,129.0,142.0,106.89269218593836,280.0,1.3339999914169312,90.19999694824219,100.19999694824219,272.0,-6.432656720280647,71.0,280.0,0.0729999989271164,280.0
0.0,1787872350000.0,397.6499938964844,91.19999694824219,126.0,142.0,106.89265773631632,287.0,1.3339999914169312,91.19999694824219,101.5999984741211,279.0,-6.432740539312363,71.0,287.0,0.13300000131130219,287.0
0.5,1787872354000.0,402.989990234375,91.4000015258789,125.0,143.0,106.89263921231031,291.0,1.3339999914169312,91.4000015258789,104.19999694824219,283.0,-6.432785550132394,71.0,291.0,0.05700000002980232,291.0
0.0,1787872358000.0,408.92999267578125,91.4000015258789,122.0,144.0,106.89261507242918,295.0,1.343999981880188,91.4000015258789,105.4000015258789,287.0,-6.43283374607563,72.0,295.0,-0.02199999988079071,295.0
0.0,1787872363000.0,416.2300109863281,91.4000015258789,122.0,146.0,106.89259671606123,300.0,1.3530000448226929,91.4000015258789,105.4000015258789,292.0,-6.432897532358766,73.0,300.0,0.014999999664723873,300.0
0.5,1787872372000.0,431.32000732421875,91.5999984741211,122.0,157.0,106.89256394281983,309.0,1.3899999856948853,91.5999984741211,104.4000015258789,301.0,-6.433030134066939,78.0,309.0,0.027000000700354576,309.0
0.5,1787872381000.0,447.07000732421875,91.19999694824219,124.0,159.0,106.89256100915372,318.0,1.5210000276565552,91.19999694824219,104.0,310.0,-6.433171704411507,79.0,318.0,-0.05299999937415123,318.0
0.0,1787872385000.0,452.8999938964844,91.0,127.0,158.0,106.89257014542818,322.0,1.5490000247955322,91.0,103.80000305175781,314.0,-6.43322367221117,79.0,322.0,-0.029999999329447746,322.0
0.0,1787872389000.0,458.80999755859375,90.80000305175781,127.0,154.0,106.89257048070431,326.0,1.5579999685287476,90.80000305175781,103.19999694824219,318.0,-6.4332768972963095,77.0,326.0,-0.04699999839067459,326.0
0.0,1787872393000.0,464.7799987792969,90.80000305175781,130.0,152.0,106.892572324723,330.0,1.5399999618530273,90.80000305175781,102.19999694824219,322.0,-6.433330625295639,76.0,330.0,-0.03099999949336052,330.0
0.0,1787872396000.0,470.07000732421875,90.80000305175781,131.0,152.0,106.89257450401783,333.0,1.5299999713897705,90.80000305175781,101.0,325.0,-6.43337856978178,76.0,333.0,0.004999999888241291,333.0
0.0,1787872407000.0,491.3900146484375,90.80000305175781,134.0,152.0,106.89257525838912,344.0,1.5770000219345093,90.80000305175781,100.5999984741211,336.0,-6.433571605011821,76.0,344.0,0.0,344.0
0.5,1787872413000.0,503.07000732421875,90.80000305175781,138.0,157.0,106.89257727004588,350.0,1.6330000162124634,90.80000305175781,101.80000305175781,342.0,-6.433676211163402,78.0,350.0,0.020999999716877937,350.0
0.0,1787872416000.0,508.5199890136719,90.80000305175781,140.0,152.0,106.89257995225489,353.0,1.6699999570846558,90.80000305175781,102.5999984741211,345.0,-6.43372549675405,76.0,353.0,0.003000000026077032,353.0
