activity_id,split_index,distance_km,duration_min,pace_min_per_km,avg_hr,max_hr,elevation_gain_m
24290954240,1,0.616,5.0,8.12,133.0,141.0,15.79
24290954240,2,1.0,8.5,8.5,146.0,157.0,7.17
24290954240,3,1.0,8.32,8.32,146.0,151.0,0.0
24290954240,4,1.0,8.6,8.6,146.0,154.0,5.98
24290954240,5,1.0,9.07,9.07,146.0,154.0,1.82
24290954240,6,0.593,5.51,9.29,148.0,153.0,4.57
24290954240,7,1.0,9.27,9.27,148.0,159.0,20.81
24290954240,8,0.078,0.73,9.38,148.0,152.0,0.0
24290954240,9,0.465,5.0,10.76,135.0,146.0,0.0
