directLongitude,directSpeed,directLatitude,sumDistance,sumElapsedDuration,directElevation,directHeartRate,directFractionalCadence,sumMovingDuration,directRunCadence,sumDuration,directDoubleCadence,directTimestamp,directUncorrectedElevation,directCorrectedElevation,directVerticalSpeed,elapsed_s
106.89395500347018,0.0,-6.429351903498173,0.30000001192092896,0.0,83.19999694824219,131.0,0.0,0.0,0.0,0.0,0.0,1786576261000.0,101.19999694824219,83.19999694824219,,0.0
106.89388719387352,0.8859999775886536,-6.42940110526979,9.84000015258789,9.0,82.4000015258789,131.0,0.0,9.0,76.0,9.0,152.0,1786576270000.0,101.0,82.4000015258789,-0.08900000154972076,9.0
106.89385215751827,1.4179999828338623,-6.429459610953927,17.239999771118164,12.0,81.80000305175781,130.0,0.5,12.0,74.0,12.0,149.0,1786576273000.0,100.4000015258789,81.80000305175781,-0.1809999942779541,12.0
106.8938419315964,1.4839999675750732,-6.4294845052063465,20.040000915527344,14.0,81.5999984741211,133.0,0.5,14.0,74.0,14.0,149.0,1786576275000.0,100.0,81.5999984741211,-0.11800000071525574,14.0
106.89384251832962,1.4839999675750732,-6.429508812725544,22.719999313354492,16.0,81.4000015258789,135.0,0.0,16.0,73.0,16.0,146.0,1786576277000.0,99.4000015258789,81.4000015258789,-0.03999999910593033,16.0
106.89382684417069,1.3899999856948853,-6.429607467725873,33.779998779296875,22.0,81.0,138.0,0.5,22.0,74.0,22.0,149.0,1786576283000.0,97.5999984741211,81.0,-0.07699999958276749,22.0
106.89381318166852,1.3899999856948853,-6.429639654234052,37.709999084472656,25.0,80.80000305175781,138.0,0.5,25.0,73.0,25.0,147.0,1786576286000.0,97.19999694824219,80.80000305175781,-0.03799999877810478,25.0
106.89380236901343,1.3899999856948853,-6.4296630397439,40.5099983215332,27.0,80.80000305175781,139.0,0.5,27.0,73.0,27.0,147.0,1786576288000.0,97.0,80.80000305175781,-0.052000001072883606,27.0
106.8937742896378,1.38100004196167,-6.429702267050743,45.7599983215332,31.0,80.4000015258789,140.0,0.5,31.0,74.0,31.0,149.0,1786576292000.0,96.19999694824219,80.4000015258789,-0.10599999874830246,31.0
106.89376473426819,1.371999979019165,-6.429713666439056,47.400001525878906,32.0,80.19999694824219,140.0,0.0,32.0,74.0,32.0,148.0,1786576293000.0,96.19999694824219,80.19999694824219,-0.1979999989271164,32.0
106.8937592022121,1.3530000448226929,-6.429780386388302,54.93000030517578,36.0,80.19999694824219,139.0,0.0,36.0,75.0,36.0,150.0,1786576297000.0,96.4000015258789,80.19999694824219,0.02500000037252903,36.0
106.89371662214398,1.371999979019165,-6.429897481575608,68.68000030517578,46.0,79.5999984741211,138.0,0.0,46.0,74.0,46.0,148.0,1786576307000.0,98.80000305175781,79.5999984741211,-0.05700000002980232,46.0
106.89369382336736,1.3530000448226929,-6.430021617561579,82.75,57.0,80.4000015258789,137.0,0.5,57.0,72.0,57.0,145.0,1786576318000.0,95.5999984741211,80.4000015258789,0.0689999982714653,57.0
106.89366758801043,1.3339999914169312,-6.430115662515163,93.4000015258789,66.0,81.4000015258789,137.0,0.0,66.0,72.0,66.0,144.0,1786576327000.0,92.19999694824219,81.4000015258789,0.11299999803304672,66.0
106.89364353194833,1.305999994277954,-6.430244157090783,107.94000244140625,76.0,82.80000305175781,135.0,0.5,76.0,70.0,76.0,141.0,1786576337000.0,87.0,82.80000305175781,0.13899999856948853,76.0
106.89362676814198,1.305999994277954,-6.430266369134188,110.9800033569336,78.0,83.0,134.0,0.5,78.0,70.0,78.0,141.0,1786576339000.0,86.0,83.0,0.09099999815225601,78.0
106.89358963631094,1.2970000505447388,-6.430343482643366,120.4000015258789,84.0,83.4000015258789,132.0,0.5,84.0,70.0,84.0,141.0,1786576345000.0,85.5999984741211,83.4000015258789,0.04600000008940697,84.0
106.8935826793313,1.2970000505447388,-6.4303715620189905,123.58000183105469,87.0,83.4000015258789,132.0,0.5,87.0,70.0,87.0,141.0,1786576348000.0,86.0,83.4000015258789,0.03400000184774399,87.0
106.89356826245785,1.2970000505447388,-6.430412968620658,128.25999450683594,92.0,83.5999984741211,132.0,0.5,92.0,70.0,92.0,141.0,1786576353000.0,85.5999984741211,83.5999984741211,0.032999999821186066,92.0
106.8935427814722,1.277999997138977,-6.430509192869067,139.44000244140625,101.0,84.4000015258789,133.0,0.5,101.0,71.0,101.0,143.0,1786576362000.0,83.19999694824219,84.4000015258789,0.0949999988079071,101.0
