directLatitude,directDoubleCadence,directFractionalCadence,sumElapsedDuration,directTimestamp,directRunCadence,sumDuration,sumMovingDuration,sumDistance,directLongitude,directUncorrectedElevation,directSpeed,directElevation,directCorrectedElevation,directHeartRate,directVerticalSpeed,elapsed_s
-6.429825145751238,153.0,0.5,39.0,1789513282000.0,76.0,39.0,30.0,57.279998779296875,106.89363372512162,122.0,1.5679999589920044,79.19999694824219,79.19999694824219,115.0,0.03700000047683716,39.0
-6.429872587323189,154.0,0.0,43.0,1789513286000.0,77.0,43.0,34.0,60.790000915527344,106.89360648393631,122.0,1.5579999685287476,79.19999694824219,79.19999694824219,117.0,0.017999999225139618,43.0
-6.429914999753237,157.0,0.5,46.0,1789513289000.0,78.0,46.0,37.0,64.87999725341797,106.8935829307884,121.80000305175781,1.5490000247955322,79.19999694824219,79.19999694824219,118.0,0.023000000044703484,46.0
-6.429933523759246,157.0,0.5,48.0,1789513291000.0,78.0,48.0,39.0,66.44000244140625,106.8935602158308,121.80000305175781,1.5770000219345093,79.19999694824219,79.19999694824219,120.0,-0.00800000037997961,48.0
-6.429958837106824,159.0,0.5,50.0,1789513293000.0,79.0,50.0,41.0,70.06999969482422,106.89353976398706,121.80000305175781,1.5770000219345093,79.19999694824219,79.19999694824219,122.0,0.008999999612569809,50.0
-6.429998902603984,157.0,0.5,53.0,1789513296000.0,78.0,53.0,44.0,74.19999694824219,106.89353783614933,121.80000305175781,1.5679999589920044,79.5999984741211,79.5999984741211,125.0,0.1120000034570694,53.0
-6.43002949655056,154.0,0.0,56.0,1789513299000.0,77.0,56.0,47.0,77.77999877929688,106.89352040179074,121.5999984741211,1.5299999713897705,80.0,80.0,126.0,0.12600000202655792,56.0
-6.430079368874431,152.0,0.0,60.0,1789513303000.0,76.0,60.0,51.0,83.68000030517578,106.89350380562246,120.19999694824219,1.465000033378601,80.5999984741211,80.5999984741211,126.0,0.16500000655651093,60.0
-6.430089930072427,152.0,0.0,61.0,1789513304000.0,76.0,61.0,52.0,84.79000091552734,106.89350464381278,120.0,1.465000033378601,80.80000305175781,80.80000305175781,126.0,0.1550000011920929,61.0
-6.430119853466749,147.0,0.5,64.0,1789513307000.0,73.0,64.0,55.0,88.56999969482422,106.89348947256804,119.19999694824219,1.4279999732971191,81.19999694824219,81.19999694824219,127.0,0.125,64.0
-6.430149106308818,146.0,0.0,66.0,1789513309000.0,73.0,66.0,57.0,91.45999908447266,106.89348729327321,119.0,1.399999976158142,81.5999984741211,81.5999984741211,128.0,0.2070000022649765,66.0
-6.43023518845439,149.0,0.5,73.0,1789513316000.0,74.0,73.0,64.0,101.13999938964844,106.89345560967922,118.80000305175781,1.3530000448226929,82.80000305175781,82.80000305175781,129.0,0.16099999845027924,73.0
-6.4302661176770926,147.0,0.5,75.0,1789513318000.0,73.0,75.0,66.0,104.73999786376953,106.89344965852797,118.4000015258789,1.3530000448226929,83.0,83.0,128.0,0.15800000727176666,75.0
-6.430293023586273,149.0,0.5,77.0,1789513320000.0,74.0,77.0,68.0,108.0999984741211,106.89344664104283,117.5999984741211,1.371999979019165,83.19999694824219,83.19999694824219,128.0,0.04800000041723251,77.0
-6.430321270599961,149.0,0.5,79.0,1789513322000.0,74.0,79.0,70.0,111.05999755859375,106.8934396840632,117.0,1.371999979019165,83.19999694824219,83.19999694824219,128.0,0.050999999046325684,79.0
-6.430335519835353,149.0,0.5,80.0,1789513323000.0,74.0,80.0,71.0,112.4800033569336,106.8934428691864,116.5999984741211,1.371999979019165,83.19999694824219,83.19999694824219,129.0,0.050999999046325684,80.0
-6.4303680416196585,149.0,0.5,82.0,1789513325000.0,74.0,82.0,73.0,116.01000213623047,106.89344940707088,115.80000305175781,1.371999979019165,83.4000015258789,83.4000015258789,129.0,0.05900000035762787,82.0
-6.430385643616319,149.0,0.5,83.0,1789513326000.0,74.0,83.0,74.0,117.7300033569336,106.89345175400376,115.19999694824219,1.371999979019165,83.4000015258789,83.4000015258789,129.0,0.06300000101327896,83.0
-6.430399641394615,149.0,0.5,84.0,1789513327000.0,74.0,84.0,75.0,119.30999755859375,106.89344404265285,114.80000305175781,1.3899999856948853,83.5999984741211,83.5999984741211,129.0,0.05000000074505806,84.0
-6.43043308518827,147.0,0.5,87.0,1789513330000.0,73.0,87.0,78.0,122.44999694824219,106.89341998659074,113.19999694824219,1.4279999732971191,83.5999984741211,83.5999984741211,129.0,0.03999999910593033,87.0
-6.430504415184259,146.0,0.0,91.0,1789513334000.0,73.0,91.0,82.0,130.00999450683594,106.89342954196036,112.0,1.4459999799728394,83.80000305175781,83.80000305175781,129.0,0.06400000303983688,91.0
-6.43054255284369,151.0,0.5,94.0,1789513337000.0,75.0,94.0,85.0,133.9600067138672,106.89340154640377,111.80000305175781,1.465000033378601,84.0,84.0,129.0,0.03799999877810478,94.0
-6.430574571713805,151.0,0.5,97.0,1789513340000.0,75.0,97.0,88.0,137.99000549316406,106.89338084310293,111.5999984741211,1.4739999771118164,84.0,84.0,128.0,0.0,97.0
-6.430602734908462,151.0,0.5,100.0,1789513343000.0,75.0,100.0,91.0,141.80999755859375,106.89335242845118,111.5999984741211,1.4559999704360962,84.0,84.0,127.0,0.0,100.0
-6.430679010227323,154.0,0.0,104.0,1789513347000.0,77.0,104.0,95.0,149.75999450683594,106.89334756694734,111.5999984741211,1.4459999799728394,84.0,84.0,124.0,0.0,104.0
-6.4307241048663855,154.0,0.0,106.0,1789513349000.0,77.0,106.0,97.0,154.41000366210938,106.89335712231696,111.5999984741211,1.4559999704360962,84.0,84.0,124.0,0.0,106.0
-6.430870117619634,150.0,0.0,116.0,1789513359000.0,75.0,116.0,107.0,171.14999389648438,106.89331613481045,112.0,1.4930000305175781,84.19999694824219,84.19999694824219,125.0,0.019999999552965164,116.0
-6.43097790889442,150.0,0.0,123.0,1789513366000.0,75.0,123.0,114.0,182.27000427246094,106.8933136202395,110.5999984741211,1.5579999685287476,84.80000305175781,84.80000305175781,122.0,0.0729999989271164,123.0
-6.431024763733149,144.0,0.0,127.0,1789513370000.0,72.0,127.0,118.0,187.82000732421875,106.89329601824284,108.19999694824219,1.6139999628067017,85.0,85.0,122.0,0.06800000369548798,127.0
-6.431168345734477,149.0,0.5,138.0,1789513381000.0,74.0,138.0,129.0,205.07000732421875,106.89323499798775,105.5999984741211,1.5210000276565552,85.80000305175781,85.80000305175781,122.0,0.07400000095367432,138.0
-6.431252248585224,145.0,0.5,146.0,1789513389000.0,72.0,146.0,137.0,215.49000549316406,106.89319225028157,104.80000305175781,1.5210000276565552,86.19999694824219,86.19999694824219,124.0,0.0560000017285347,146.0
-6.4313561003655195,144.0,0.0,155.0,1789513398000.0,72.0,155.0,146.0,227.67999267578125,106.89315511845052,104.80000305175781,1.5019999742507935,87.0,87.0,121.0,0.07599999755620956,155.0
-6.431399350985885,145.0,0.5,159.0,1789513402000.0,72.0,159.0,150.0,232.69000244140625,106.89314095303416,105.0,1.4930000305175781,87.19999694824219,87.19999694824219,121.0,0.05900000035762787,159.0
-6.431540586054325,144.0,0.0,172.0,1789513415000.0,72.0,172.0,163.0,249.2100067138672,106.89309175126255,107.80000305175781,1.4559999704360962,87.5999984741211,87.5999984741211,119.0,0.027000000700354576,172.0
