directCorrectedElevation,directUncorrectedElevation,directTimestamp,directSpeed,sumMovingDuration,directHeartRate,directRunCadence,directDoubleCadence,sumDuration,directLongitude,directFractionalCadence,sumElapsedDuration,directLatitude,sumDistance,directElevation,directVerticalSpeed,elapsed_s
84.5999984741211,94.5999984741211,1787700512000.0,1.5959999561309814,84.0,144.0,72.0,144.0,84.0,106.89351436682045,0.0,84.0,-6.430589575320482,140.6300048828125,84.5999984741211,0.012000000104308128,84.0
84.5999984741211,94.4000015258789,1787700515000.0,1.5859999656677246,87.0,141.0,73.0,147.0,87.0,106.89351621083915,0.5,87.0,-6.430634502321482,145.11000061035156,84.5999984741211,0.004000000189989805,87.0
84.4000015258789,94.5999984741211,1787700518000.0,1.5859999656677246,90.0,138.0,72.0,145.0,90.0,106.89349668100476,0.5,90.0,-6.430671466514468,149.7899932861328,84.4000015258789,-0.04699999839067459,90.0
84.19999694824219,95.19999694824219,1787700521000.0,1.5859999656677246,93.0,137.0,74.0,148.0,93.0,106.89346130937338,0.0,93.0,-6.430701389908791,154.57000732421875,84.19999694824219,-0.08500000089406967,93.0
84.0,96.5999984741211,1787700530000.0,1.5770000219345093,102.0,138.0,75.0,150.0,102.0,106.89342082478106,0.0,102.0,-6.43082594498992,169.1999969482422,84.0,-0.009999999776482582,102.0
84.5999984741211,100.0,1787700539000.0,1.5490000247955322,111.0,137.0,74.0,148.0,111.0,106.8933670129627,0.0,111.0,-6.430935077369213,182.5,84.5999984741211,0.06199999898672104,111.0
85.4000015258789,100.0,1787700551000.0,1.5399999618530273,123.0,137.0,74.0,148.0,123.0,106.89331487752497,0.0,123.0,-6.431083856150508,199.88999938964844,85.4000015258789,0.07400000095367432,123.0
86.0,100.5999984741211,1787700558000.0,1.5299999713897705,130.0,134.0,75.0,150.0,130.0,106.89327238127589,0.0,130.0,-6.431172117590904,210.8699951171875,86.0,0.0689999982714653,130.0
86.0,101.0,1787700560000.0,1.5399999618530273,132.0,134.0,75.0,151.0,132.0,106.89326584339142,0.5,132.0,-6.431187456473708,212.75999450683594,86.0,0.0430000014603138,132.0
86.5999984741211,99.4000015258789,1787700569000.0,1.5019999742507935,141.0,134.0,72.0,145.0,141.0,106.89322586171329,0.5,141.0,-6.431286530569196,224.60000610351562,86.5999984741211,0.06300000101327896,141.0
87.0,98.19999694824219,1787700580000.0,1.465000033378601,152.0,134.0,71.0,143.0,152.0,106.89317682757974,0.5,152.0,-6.4314054697752,238.92999267578125,87.0,0.03799999877810478,152.0
87.0,97.5999984741211,1787700583000.0,1.4559999704360962,155.0,131.0,71.0,143.0,155.0,106.8931645900011,0.5,155.0,-6.431441847234964,243.1699981689453,87.0,-0.014000000432133675,155.0
87.19999694824219,96.5999984741211,1787700591000.0,1.4279999732971191,163.0,130.0,71.0,143.0,163.0,106.89313156530261,0.5,163.0,-6.431530276313424,253.5800018310547,87.19999694824219,0.029999999329447746,163.0
87.4000015258789,96.80000305175781,1787700600000.0,1.4179999828338623,172.0,129.0,72.0,144.0,172.0,106.89309870824218,0.0,172.0,-6.431646617129445,266.92999267578125,87.4000015258789,0.026000000536441803,172.0
87.19999694824219,97.80000305175781,1787700609000.0,1.399999976158142,181.0,130.0,72.0,144.0,181.0,106.89305051229894,0.0,181.0,-6.43174703232944,279.1600036621094,87.19999694824219,-0.04100000113248825,181.0
86.80000305175781,98.0,1787700616000.0,1.3899999856948853,188.0,131.0,71.0,143.0,188.0,106.8930252827704,0.5,188.0,-6.4318193681538105,287.70001220703125,86.80000305175781,-0.03200000151991844,188.0
86.80000305175781,97.0,1787700622000.0,1.3899999856948853,194.0,127.0,73.0,147.0,194.0,106.89298127777874,0.5,194.0,-6.4318921230733395,297.4100036621094,86.80000305175781,-0.017000000923871994,194.0
86.80000305175781,97.0,1787700624000.0,1.3899999856948853,196.0,125.0,73.0,147.0,196.0,106.89297214150429,0.5,196.0,-6.431918861344457,300.5400085449219,86.80000305175781,-0.03200000151991844,196.0
86.80000305175781,97.19999694824219,1787700627000.0,1.399999976158142,199.0,122.0,73.0,147.0,199.0,106.89296602271497,0.5,199.0,-6.431962698698044,305.3699951171875,86.80000305175781,0.04399999976158142,199.0
87.19999694824219,97.5999984741211,1787700633000.0,1.4279999732971191,205.0,122.0,72.0,144.0,205.0,106.89295344986022,0.0,205.0,-6.432037381455302,313.7200012207031,87.19999694824219,0.052000001072883606,205.0
87.19999694824219,97.5999984741211,1787700636000.0,1.437000036239624,208.0,122.0,0.0,0.0,208.0,106.89294925890863,0.0,208.0,-6.432065544649959,316.8500061035156,87.19999694824219,0.039000000804662704,208.0
87.4000015258789,97.0,1787700639000.0,1.4279999732971191,211.0,121.0,0.0,0.0,211.0,106.89292788505554,0.0,211.0,-6.43209982663393,321.3299865722656,87.4000015258789,0.06700000166893005,211.0
88.0,95.19999694824219,1787700651000.0,1.409000039100647,223.0,122.0,0.0,0.0,223.0,106.89288170076907,0.0,223.0,-6.432219939306378,335.55999755859375,88.0,0.04800000041723251,223.0
88.4000015258789,94.4000015258789,1787700659000.0,1.38100004196167,231.0,119.0,67.0,135.0,231.0,106.89284255728126,0.5,231.0,-6.432310547679663,346.44000244140625,88.4000015258789,0.04100000113248825,231.0
