directTimestamp,directFractionalCadence,sumMovingDuration,directUncorrectedElevation,sumDuration,directRunCadence,directLongitude,directLatitude,directSpeed,directCorrectedElevation,directElevation,directHeartRate,sumElapsedDuration,sumDistance,directDoubleCadence,directVerticalSpeed,elapsed_s
1789378991000.0,0.0,0.0,105.19999694824219,0.0,0.0,106.89387981779873,-6.429284093901515,0.0,81.80000305175781,81.80000305175781,140.0,0.0,0.009999999776482582,0.0,,0.0
1789378992000.0,0.0,0.0,105.19999694824219,1.0,0.0,106.89387981779873,-6.429284093901515,0.0,81.80000305175781,81.80000305175781,140.0,1.0,0.009999999776482582,0.0,0.0,1.0
1789378999000.0,0.0,0.0,104.80000305175781,8.0,78.0,106.89383899793029,-6.429349388927221,0.0,81.4000015258789,81.4000015258789,139.0,8.0,8.130000114440918,156.0,-0.05000000074505806,8.0
1789379004000.0,0.5,5.0,105.4000015258789,13.0,79.0,106.89380270428956,-6.42947050742805,1.6519999504089355,81.0,81.0,136.0,13.0,22.190000534057617,159.0,-0.08299999684095383,13.0
1789379005000.0,0.5,6.0,105.4000015258789,14.0,79.0,106.89380479976535,-6.42949691042304,1.6519999504089355,81.0,81.0,136.0,14.0,25.079999923706055,159.0,-0.06499999761581421,14.0
1789379008000.0,0.0,9.0,105.80000305175781,17.0,79.0,106.89379532821476,-6.4295596070587635,1.781999945640564,80.5999984741211,80.5999984741211,132.0,17.0,32.08000183105469,158.0,-0.12099999934434891,17.0
1789379010000.0,0.0,11.0,105.80000305175781,19.0,79.0,106.89378242008388,-6.429598666727543,1.7730000019073486,80.19999694824219,80.19999694824219,133.0,19.0,36.619998931884766,158.0,-0.16300000250339508,19.0
1789379017000.0,0.0,18.0,105.5999984741211,26.0,79.0,106.89373766072094,-6.4297310169786215,1.8289999961853027,79.5999984741211,79.5999984741211,133.0,26.0,52.08000183105469,158.0,-0.10400000214576721,26.0
1789379025000.0,0.0,26.0,105.19999694824219,34.0,79.0,106.89368669874966,-6.429856829345226,1.8660000562667847,79.4000015258789,79.4000015258789,133.0,34.0,67.48999786376953,158.0,-0.013000000268220901,34.0
1789379031000.0,0.0,32.0,104.0,40.0,80.0,106.89370354637504,-6.429977864027023,1.875,80.0,80.0,134.0,40.0,80.0199966430664,160.0,0.08299999684095383,40.0
1789379034000.0,0.0,35.0,103.80000305175781,43.0,80.0,106.89368988387287,-6.430045170709491,1.8940000534057617,80.5999984741211,80.5999984741211,135.0,43.0,87.4800033569336,160.0,0.25600001215934753,43.0
1789379037000.0,0.0,38.0,103.80000305175781,46.0,79.0,106.8936688452959,-6.430089762434363,1.8849999904632568,81.19999694824219,81.19999694824219,139.0,46.0,92.95999908447266,158.0,0.1599999964237213,46.0
1789379038000.0,0.5,39.0,104.0,47.0,78.0,106.89365887083113,-6.430105855688453,1.875,81.4000015258789,81.4000015258789,140.0,47.0,95.0,157.0,0.17399999499320984,47.0
1789379042000.0,0.5,43.0,104.4000015258789,51.0,79.0,106.8936556018889,-6.4301777724176645,1.875,82.19999694824219,82.19999694824219,140.0,51.0,102.43000030517578,159.0,0.1940000057220459,51.0
1789379044000.0,0.5,45.0,104.4000015258789,53.0,79.0,106.8936624750495,-6.430210126563907,1.8849999904632568,82.4000015258789,82.4000015258789,140.0,53.0,106.0199966430664,159.0,0.17499999701976776,53.0
1789379051000.0,0.0,52.0,102.4000015258789,60.0,80.0,106.8936608824879,-6.430323366075754,1.8940000534057617,83.19999694824219,83.19999694824219,142.0,60.0,118.7300033569336,160.0,0.11299999803304672,60.0
1789379057000.0,0.5,58.0,101.5999984741211,66.0,80.0,106.89363707788289,-6.430403999984264,1.875,84.0,84.0,143.0,66.0,127.79000091552734,161.0,0.11699999868869781,66.0
