directLongitude,directLatitude,directFractionalCadence,directDoubleCadence,directRunCadence,directSpeed,directElevation,sumDistance,directHeartRate,directCorrectedElevation,directUncorrectedElevation,sumDuration,sumMovingDuration,sumElapsedDuration,directTimestamp,directVerticalSpeed,elapsed_s
106.89358485862613,-6.429994041100144,0.0,0.0,0.0,0.0,79.80000305175781,0.0,121.0,79.80000305175781,90.0,0.0,0.0,0.0,1785884843000.0,,0.0
106.89358485862613,-6.429994041100144,0.0,0.0,0.0,0.0,79.80000305175781,0.0,119.0,79.80000305175781,90.0,1.0,0.0,1.0,1785884844000.0,0.0,1.0
106.89358502626419,-6.429994208738208,0.0,0.0,0.0,0.0,79.80000305175781,0.0,116.0,79.80000305175781,89.80000305175781,3.0,0.0,3.0,1785884846000.0,0.0020000000949949026,3.0
106.8935831822455,-6.429996723309159,0.0,0.0,0.0,0.0,79.80000305175781,0.3400000035762787,113.0,79.80000305175781,89.80000305175781,5.0,0.0,5.0,1785884848000.0,0.014999999664723873,5.0
106.8935779016465,-6.430053301155567,0.5,155.0,77.0,0.0,80.5999984741211,6.639999866485596,114.0,80.5999984741211,89.80000305175781,8.0,0.0,8.0,1785884851000.0,0.26499998569488525,8.0
106.89358075149357,-6.430189339444041,0.0,160.0,80.0,1.6979999542236328,82.19999694824219,21.479999542236328,117.0,82.19999694824219,89.5999984741211,14.0,6.0,14.0,1785884857000.0,0.28700000047683716,14.0
106.89357857219875,-6.430222867056727,0.5,161.0,80.0,1.781999945640564,82.5999984741211,25.1200008392334,120.0,82.5999984741211,89.5999984741211,16.0,8.0,16.0,1785884859000.0,0.1809999942779541,16.0
106.8935755547136,-6.430274164304137,0.5,159.0,79.0,1.7910000085830688,83.0,30.56999969482422,123.0,83.0,89.4000015258789,19.0,11.0,19.0,1785884862000.0,0.1469999998807907,19.0
106.89356247894466,-6.430323366075754,0.5,159.0,79.0,1.7910000085830688,83.19999694824219,36.18000030517578,122.0,83.19999694824219,89.4000015258789,22.0,14.0,22.0,1785884865000.0,0.05900000035762787,22.0
106.89353532157838,-6.430442640557885,0.0,162.0,81.0,1.7910000085830688,83.5999984741211,49.68000030517578,122.0,83.5999984741211,89.4000015258789,29.0,21.0,29.0,1785884872000.0,0.061000000685453415,29.0
106.89352920278907,-6.430488741025329,0.0,162.0,81.0,1.8009999990463257,84.19999694824219,54.81999969482422,122.0,84.19999694824219,89.5999984741211,32.0,24.0,32.0,1785884875000.0,0.14900000393390656,32.0
106.89351227134466,-6.430525369942188,0.0,162.0,81.0,1.7910000085830688,84.4000015258789,59.2400016784668,123.0,84.4000015258789,90.0,34.0,26.0,34.0,1785884877000.0,0.13699999451637268,34.0
