sumMovingDuration,sumDistance,sumDuration,directHeartRate,directLongitude,directLatitude,directCorrectedElevation,directRunCadence,directUncorrectedElevation,sumElapsedDuration,directTimestamp,directElevation,directFractionalCadence,directSpeed,directDoubleCadence,directVerticalSpeed,elapsed_s
29.0,55.83000183105469,59.0,125.0,106.8935308791697,-6.430617151781917,84.5999984741211,81.0,91.80000305175781,64.0,1786057379000.0,84.5999984741211,0.0,1.7730000019073486,162.0,-0.04899999871850014,64.0
32.0,62.68000030517578,62.0,128.0,106.89351151697338,-6.430675154551864,84.4000015258789,81.0,92.19999694824219,67.0,1786057382000.0,84.4000015258789,0.0,1.809999942779541,162.0,-0.04600000008940697,67.0
34.0,65.77999877929688,64.0,130.0,106.89349198713899,-6.430696863681078,84.4000015258789,79.0,92.80000305175781,69.0,1786057384000.0,84.4000015258789,0.0,1.847000002861023,158.0,-0.07000000029802322,69.0
39.0,75.51000213623047,69.0,133.0,106.89347203820944,-6.430781688541174,84.19999694824219,79.0,93.4000015258789,74.0,1786057389000.0,84.19999694824219,0.0,1.8660000562667847,158.0,-0.028999999165534973,74.0
42.0,81.97000122070312,72.0,133.0,106.89343188889325,-6.430827872827649,84.0,79.0,94.0,77.0,1786057392000.0,84.0,0.0,1.8569999933242798,158.0,-0.05000000074505806,77.0
50.0,97.62999725341797,80.0,136.0,106.8933841958642,-6.430960977450013,84.80000305175781,81.0,97.0,85.0,1786057400000.0,84.80000305175781,0.0,1.902999997138977,162.0,0.09799999743700027,85.0
53.0,103.73999786376953,83.0,137.0,106.89335376955569,-6.431007664650679,85.0,81.0,97.5999984741211,88.0,1786057403000.0,85.0,0.0,1.930999994277954,162.0,0.07599999755620956,88.0
63.0,122.77999877929688,93.0,138.0,106.89326056279242,-6.431154347956181,85.80000305175781,81.0,98.0,98.0,1786057413000.0,85.80000305175781,0.5,1.968999981880188,163.0,0.07199999690055847,98.0
67.0,130.4600067138672,97.0,139.0,106.89323022030294,-6.431215954944491,86.19999694824219,83.0,97.80000305175781,102.0,1786057417000.0,86.19999694824219,0.0,1.968999981880188,166.0,0.08399999886751175,102.0
69.0,134.27999877929688,99.0,139.0,106.89321286976337,-6.4312459621578455,86.19999694824219,82.0,97.5999984741211,104.0,1786057419000.0,86.19999694824219,0.0,1.9780000448226929,164.0,0.07699999958276749,104.0
75.0,144.77999877929688,105.0,142.0,106.89317280426621,-6.431332044303417,86.80000305175781,80.0,97.4000015258789,110.0,1786057425000.0,86.80000305175781,0.0,1.9589999914169312,160.0,0.07900000363588333,110.0
81.0,153.66000366210938,111.0,143.0,106.8931479100138,-6.431408319622278,87.19999694824219,79.0,98.80000305175781,116.0,1786057431000.0,87.19999694824219,0.0,1.9129999876022339,158.0,0.061000000685453415,116.0
90.0,168.07000732421875,120.0,140.0,106.89310105517507,-6.43152960576117,87.4000015258789,78.0,102.5999984741211,125.0,1786057440000.0,87.4000015258789,0.0,1.8569999933242798,156.0,0.03700000047683716,125.0
92.0,170.1999969482422,122.0,138.0,106.89309828914702,-6.43154863268137,87.4000015258789,79.0,103.0,127.0,1786057442000.0,87.4000015258789,0.5,1.8289999961853027,159.0,0.009999999776482582,127.0
100.0,182.94000244140625,130.0,138.0,106.89306023530662,-6.431657345965505,87.5999984741211,79.0,102.19999694824219,135.0,1786057450000.0,87.5999984741211,0.0,1.7259999513626099,158.0,0.026000000536441803,135.0
109.0,200.16000366210938,139.0,139.0,106.8930091895163,-6.43180419690907,87.0,79.0,101.5999984741211,144.0,1786057459000.0,87.0,0.0,1.7259999513626099,158.0,-0.07599999755620956,144.0
118.0,214.30999755859375,148.0,142.0,106.89296526834369,-6.4319242257624865,86.80000305175781,80.0,100.5999984741211,153.0,1786057468000.0,86.80000305175781,0.0,1.7450000047683716,160.0,-0.029999999329447746,153.0
120.0,217.49000549316406,150.0,142.0,106.89295403659344,-6.431951131671667,86.80000305175781,80.0,100.5999984741211,155.0,1786057470000.0,86.80000305175781,0.0,1.7359999418258667,160.0,0.06400000303983688,155.0
131.0,237.02999877929688,161.0,140.0,106.89288631081581,-6.4321141596883535,87.5999984741211,78.0,100.0,166.0,1786057481000.0,87.5999984741211,0.0,1.7170000076293945,156.0,0.07599999755620956,166.0
142.0,256.54998779296875,172.0,142.0,106.89282772131264,-6.432280540466309,88.19999694824219,80.0,98.80000305175781,177.0,1786057492000.0,88.19999694824219,0.0,1.7079999446868896,160.0,0.05400000140070915,177.0
153.0,277.45001220703125,183.0,144.0,106.89276527613401,-6.432459158822894,89.0,80.0,99.19999694824219,188.0,1786057503000.0,89.0,0.5,1.7640000581741333,161.0,0.057999998331069946,188.0
154.0,279.2799987792969,184.0,144.0,106.89275957643986,-6.4324746653437614,89.0,80.0,99.4000015258789,189.0,1786057504000.0,89.0,0.5,1.7730000019073486,161.0,0.0560000017285347,189.0
163.0,295.19000244140625,193.0,144.0,106.89270945265889,-6.432608775794506,90.0,78.0,99.0,198.0,1786057513000.0,90.0,0.5,1.7910000085830688,157.0,0.10499999672174454,198.0
168.0,304.6600036621094,198.0,147.0,106.89267944544554,-6.432688655331731,90.4000015258789,79.0,98.80000305175781,203.0,1786057518000.0,90.4000015258789,0.5,1.7910000085830688,159.0,0.11500000208616257,203.0
