directDoubleCadence,directElevation,directLongitude,sumMovingDuration,sumElapsedDuration,sumDistance,directHeartRate,sumDuration,directTimestamp,directLatitude,directCorrectedElevation,directRunCadence,directFractionalCadence,directSpeed,directUncorrectedElevation,directVerticalSpeed,elapsed_s
169.0,11.800000190734863,106.80541788227856,33.0,33.0,86.37000274658203,145.0,33.0,1788049687000.0,-6.2243296299129725,11.800000190734863,84.0,0.5,2.6689999103546143,50.79999923706055,0.3310000002384186,33.0
171.0,12.600000381469727,106.80545476265252,35.0,35.0,91.83999633789062,148.0,35.0,1788049689000.0,-6.224296437576413,12.600000381469727,85.0,0.5,2.677999973297119,51.0,0.3190000057220459,35.0
171.0,14.199999809265137,106.8055641464889,40.0,40.0,105.8499984741211,149.0,40.0,1788049694000.0,-6.224233824759722,14.199999809265137,85.0,0.5,2.6689999103546143,50.400001525878906,0.32600000500679016,40.0
169.0,15.199999809265137,106.80564612150192,44.0,44.0,115.7699966430664,152.0,44.0,1788049698000.0,-6.224198117852211,15.199999809265137,84.0,0.5,2.677999973297119,49.79999923706055,0.2800000011920929,44.0
171.0,15.800000190734863,106.80568660609424,46.0,46.0,120.98999786376953,153.0,46.0,1788049700000.0,-6.224173726513982,15.800000190734863,85.0,0.5,2.677999973297119,49.599998474121094,0.2329999953508377,46.0
175.0,16.200000762939453,106.80572658777237,48.0,48.0,126.31999969482422,158.0,48.0,1788049702000.0,-6.224147491157055,16.200000762939453,87.0,0.5,2.677999973297119,49.0,0.23800000548362732,48.0
171.0,17.0,106.80578635074198,51.0,51.0,134.9499969482422,156.0,51.0,1788049705000.0,-6.224097451195121,17.0,85.0,0.5,2.6689999103546143,48.20000076293945,0.2630000114440918,51.0
171.0,17.200000762939453,106.8059254065156,58.0,58.0,153.83999633789062,158.0,58.0,1788049712000.0,-6.223998796194792,17.200000762939453,85.0,0.5,2.6589999198913574,47.599998474121094,0.03799999877810478,58.0
167.0,14.600000381469727,106.80607820861042,66.0,66.0,175.97000122070312,161.0,66.0,1788049720000.0,-6.22386921197176,14.600000381469727,83.0,0.5,2.6589999198913574,45.79999923706055,-0.3230000138282776,66.0
167.0,14.399999618530273,106.80609606206417,67.0,67.0,178.5800018310547,158.0,67.0,1788049721000.0,-6.223853621631861,14.399999618530273,83.0,0.5,2.6500000953674316,45.79999923706055,-0.3050000071525574,67.0
167.0,13.800000190734863,106.80613562464714,69.0,69.0,184.22999572753906,160.0,69.0,1788049723000.0,-6.223821099847555,13.800000190734863,83.0,0.5,2.6500000953674316,46.0,-0.3310000002384186,69.0
169.0,12.399999618530273,106.80626990273595,76.0,76.0,200.80999755859375,159.0,76.0,1788049730000.0,-6.223755050450563,12.399999618530273,84.0,0.5,2.621999979019165,45.20000076293945,-0.19900000095367432,76.0
169.0,11.399999618530273,106.80640267208219,83.0,83.0,217.5500030517578,157.0,83.0,1788049737000.0,-6.223682798445225,11.399999618530273,84.0,0.5,2.5940001010894775,42.599998474121094,-0.14300000667572021,83.0
163.0,11.600000381469727,106.80652018636465,89.0,89.0,232.4199981689453,158.0,89.0,1788049743000.0,-6.223618257790804,11.600000381469727,81.0,0.5,2.565999984741211,41.400001525878906,0.04600000008940697,89.0
165.0,13.199999809265137,106.8066178355366,94.0,94.0,245.02000427246094,160.0,94.0,1788049748000.0,-6.223560841754079,13.199999809265137,82.0,0.5,2.556999921798706,41.20000076293945,0.33899998664855957,94.0
169.0,15.199999809265137,106.80677021853626,102.0,102.0,265.07000732421875,162.0,102.0,1788049756000.0,-6.223462438210845,15.199999809265137,84.0,0.5,2.546999931335449,41.599998474121094,0.24199999868869781,102.0
169.0,15.199999809265137,106.8068839609623,108.0,108.0,282.9599914550781,161.0,108.0,1788049762000.0,-6.223349450156093,15.199999809265137,84.0,0.5,2.546999931335449,42.20000076293945,0.0020000000949949026,108.0
165.0,16.399999618530273,106.80702846497297,114.0,114.0,299.70001220703125,163.0,114.0,1788049768000.0,-6.223302176222205,16.399999618530273,82.0,0.5,2.575000047683716,41.79999923706055,0.18000000715255737,114.0
167.0,18.399999618530273,106.80719534866512,123.0,123.0,321.5400085449219,164.0,123.0,1788049777000.0,-6.22319832444191,18.399999618530273,83.0,0.5,2.5850000381469727,42.0,0.2329999953508377,123.0
167.0,18.799999237060547,106.807213537395,124.0,124.0,324.1199951171875,164.0,124.0,1788049778000.0,-6.22318365611136,18.799999237060547,83.0,0.5,2.5850000381469727,42.0,0.35499998927116394,124.0
165.0,20.600000381469727,106.80735007859766,131.0,131.0,341.45001220703125,166.0,131.0,1788049785000.0,-6.223107213154435,20.600000381469727,82.0,0.5,2.5940001010894775,41.599998474121094,0.2630000114440918,131.0
169.0,21.799999237060547,106.80750480853021,139.0,139.0,362.1400146484375,166.0,139.0,1788049793000.0,-6.223002439364791,21.799999237060547,84.0,0.5,2.6029999256134033,41.599998474121094,0.14100000262260437,139.0
169.0,21.799999237060547,106.80752475745976,140.0,140.0,364.6700134277344,167.0,140.0,1788049794000.0,-6.222991039976478,21.799999237060547,84.0,0.5,2.6029999256134033,41.599998474121094,0.12300000339746475,140.0
165.0,22.600000381469727,106.80767781101167,148.0,148.0,385.3900146484375,166.0,148.0,1788049802000.0,-6.222885176539421,22.600000381469727,82.0,0.5,2.6029999256134033,40.0,0.10100000351667404,148.0
169.0,23.799999237060547,106.80784310214221,156.0,156.0,406.5199890136719,168.0,156.0,1788049810000.0,-6.22279230505228,23.799999237060547,84.0,0.5,2.61299991607666,39.599998474121094,0.1469999998807907,156.0
165.0,24.799999237060547,106.8079612031579,162.0,162.0,421.94000244140625,170.0,162.0,1788049816000.0,-6.222718544304371,24.799999237060547,82.0,0.5,2.621999979019165,40.599998474121094,0.1420000046491623,162.0
165.0,24.799999237060547,106.80810738354921,170.0,170.0,441.4700012207031,171.0,170.0,1788049824000.0,-6.222620476037264,24.799999237060547,82.0,0.5,2.621999979019165,40.79999923706055,0.023000000044703484,170.0
165.0,24.200000762939453,106.80825884453952,179.0,179.0,462.989990234375,173.0,179.0,1788049833000.0,-6.222499273717403,24.200000762939453,82.0,0.5,2.5850000381469727,40.599998474121094,-0.07100000232458115,179.0
167.0,23.799999237060547,106.80842773988843,188.0,188.0,484.5,173.0,188.0,1788049842000.0,-6.222402462735772,23.799999237060547,83.0,0.5,2.575000047683716,41.599998474121094,-0.0560000017285347,188.0
167.0,23.600000381469727,106.80844567716122,189.0,189.0,486.9100036621094,173.0,189.0,1788049843000.0,-6.222390225157142,23.600000381469727,83.0,0.5,2.565999984741211,41.599998474121094,-0.19699999690055847,189.0
