directSpeed,directTimestamp,directFractionalCadence,directElevation,directRunCadence,directHeartRate,sumMovingDuration,sumDistance,directLatitude,directLongitude,sumDuration,sumElapsedDuration,directCorrectedElevation,directUncorrectedElevation,directDoubleCadence,directVerticalSpeed,elapsed_s
1.4459999799728394,1786228900000.0,0.0,78.4000015258789,81.0,135.0,0.0,2.2200000286102295,-6.368617471307516,106.82873231358826,0.0,0.0,78.4000015258789,93.80000305175781,162.0,,0.0
1.8660000562667847,1786228901000.0,0.0,78.5999984741211,81.0,135.0,1.0,4.880000114440918,-6.368636665865779,106.82874689809978,1.0,1.0,78.5999984741211,93.5999984741211,162.0,0.17399999499320984,1.0
1.847000002861023,1786228906000.0,0.0,79.19999694824219,78.0,135.0,6.0,14.59000015258789,-6.368709756061435,106.82879467494786,6.0,6.0,79.19999694824219,92.5999984741211,156.0,0.12099999934434891,6.0
1.6139999628067017,1786228913000.0,0.5,79.80000305175781,76.0,139.0,13.0,25.989999771118164,-6.368800615891814,106.82884337380528,13.0,13.0,79.80000305175781,92.0,153.0,0.09700000286102295,13.0
1.6139999628067017,1786228914000.0,0.5,80.0,76.0,141.0,14.0,27.600000381469727,-6.3688137754797935,106.82884940877557,14.0,14.0,80.0,92.0,153.0,0.09099999815225601,14.0
1.5770000219345093,1786228916000.0,0.5,80.19999694824219,77.0,145.0,16.0,31.110000610351562,-6.368841603398323,106.8288653343916,16.0,16.0,80.19999694824219,92.0,155.0,0.10700000077486038,16.0
1.5299999713897705,1786228920000.0,0.5,80.5999984741211,79.0,148.0,20.0,38.880001068115234,-6.368904886767268,106.8288957607001,20.0,20.0,80.5999984741211,91.80000305175781,159.0,0.1120000034570694,20.0
1.5399999618530273,1786228923000.0,0.0,80.80000305175781,82.0,149.0,23.0,43.439998626708984,-6.368941348046064,106.82891545817256,23.0,23.0,80.80000305175781,91.4000015258789,164.0,0.06199999898672104,23.0
1.4739999771118164,1786228932000.0,0.0,81.0,79.0,147.0,32.0,58.150001525878906,-6.369056599214673,106.82898159138858,32.0,32.0,81.0,91.4000015258789,158.0,0.02500000037252903,32.0
1.4739999771118164,1786228936000.0,0.5,80.80000305175781,78.0,144.0,36.0,65.55000305175781,-6.369109153747559,106.82902249507606,36.0,36.0,80.80000305175781,91.19999694824219,157.0,-0.0560000017285347,36.0
