activity_id,split_index,distance_km,duration_min,pace_min_per_km,avg_hr,max_hr,elevation_gain_m
23929491336,1,0.74,15.0,20.26,125.0,151.0,20.25
23929491336,2,0.083,0.71,8.56,135.0,147.0,0.0
23929491336,3,0.052,0.33,6.38,139.0,144.0,0.0
23929491336,4,0.073,0.75,10.29,152.0,160.0,0.0
23929491336,5,0.053,0.33,6.32,140.0,143.0,1.83
23929491336,6,0.068,0.75,11.01,151.0,157.0,0.0
23929491336,7,0.057,0.33,5.81,148.0,148.0,0.0
23929491336,8,0.071,0.75,10.51,156.0,162.0,0.0
23929491336,9,0.057,0.33,5.87,144.0,147.0,0.0
23929491336,10,0.066,0.75,11.29,150.0,158.0,0.0
23929491336,11,0.054,0.33,6.18,139.0,144.0,0.0
23929491336,12,0.066,0.75,11.41,148.0,152.0,0.0
23929491336,13,0.052,0.33,6.42,139.0,140.0,0.0
23929491336,14,0.064,0.75,11.78,142.0,148.0,1.68
23929491336,15,0.052,0.33,6.4,137.0,143.0,0.0
23929491336,16,0.069,0.75,10.88,149.0,154.0,4.54
23929491336,17,0.054,0.33,6.13,144.0,148.0,0.0
23929491336,18,0.072,0.75,10.36,143.0,147.0,0.0
23929491336,19,0.056,0.33,5.93,135.0,138.0,0.0
23929491336,20,0.069,0.75,10.95,143.0,148.0,0.0
23929491336,21,0.05,0.33,6.61,133.0,139.0,0.0
23929491336,22,0.061,0.75,12.26,142.0,146.0,0.0
23929491336,23,1.0,9.45,9.45,139.0,151.0,0.0
23929491336,24,0.537,5.55,10.32,139.0,146.0,5.0
