directFractionalCadence,directUncorrectedElevation,directHeartRate,sumDuration,directCorrectedElevation,sumElapsedDuration,sumMovingDuration,directLatitude,directDoubleCadence,directElevation,directRunCadence,sumDistance,directTimestamp,directLongitude,directSpeed,directVerticalSpeed,elapsed_s
0.0,56.0,146.0,201.0,22.200000762939453,201.0,200.0,-6.225811634212732,154.0,22.200000762939453,77.0,424.5799865722656,1788656191000.0,106.80357394739985,1.8009999990463257,-0.10899999737739563,201.0
0.0,57.599998474121094,145.0,207.0,21.200000762939453,207.0,206.0,-6.225799228996038,154.0,21.200000762939453,77.0,431.82000732421875,1788656197000.0,106.80363806895912,1.5399999618530273,-0.17900000512599945,207.0
0.0,58.0,145.0,208.0,21.200000762939453,208.0,207.0,-6.225786572322249,154.0,21.200000762939453,77.0,433.5799865722656,1788656198000.0,106.8036491330713,1.5019999742507935,0.07999999821186066,208.0
0.0,60.599998474121094,144.0,212.0,21.0,212.0,211.0,-6.225763186812401,154.0,21.0,77.0,438.0199890136719,1788656202000.0,106.80368802510202,1.437000036239624,-0.06300000101327896,212.0
0.0,66.4000015258789,141.0,219.0,20.799999237060547,219.0,218.0,-6.225743992254138,154.0,20.799999237060547,77.0,446.04998779296875,1788656209000.0,106.80375927127898,1.3530000448226929,-0.020999999716877937,219.0
0.0,66.80000305175781,140.0,221.0,20.799999237060547,221.0,220.0,-6.225736113265157,154.0,20.799999237060547,77.0,448.6600036621094,1788656211000.0,106.80378542281687,1.315999984741211,-0.01899999938905239,221.0
0.0,67.19999694824219,141.0,223.0,20.799999237060547,223.0,222.0,-6.225723372772336,154.0,20.799999237060547,77.0,451.8399963378906,1788656213000.0,106.80381626822054,1.2970000505447388,-0.009999999776482582,223.0
0.5,70.4000015258789,141.0,228.0,21.200000762939453,228.0,227.0,-6.22562924399972,155.0,21.200000762939453,77.0,458.0299987792969,1788656218000.0,106.80387393571436,1.3339999914169312,0.09399999678134918,228.0
0.0,74.80000305175781,138.0,234.0,21.600000381469727,234.0,233.0,-6.225554728880525,154.0,21.600000381469727,77.0,467.94000244140625,1788656224000.0,106.80395473726094,1.25,0.04100000113248825,234.0
0.5,72.4000015258789,139.0,238.0,20.600000381469727,238.0,237.0,-6.225519357249141,157.0,20.600000381469727,78.0,475.3800048828125,1788656228000.0,106.80402087047696,1.277999997138977,-0.2529999911785126,238.0
0.0,67.4000015258789,139.0,244.0,19.200000762939453,244.0,243.0,-6.225404189899564,156.0,19.200000762939453,78.0,489.3299865722656,1788656234000.0,106.80409773252904,1.3899999856948853,-0.23000000417232513,244.0
0.0,63.599998474121094,138.0,253.0,16.799999237060547,253.0,252.0,-6.225307295098901,158.0,16.799999237060547,79.0,505.0799865722656,1788656243000.0,106.80420326068997,1.5019999742507935,-0.25699999928474426,253.0
