directRunCadence,directDoubleCadence,sumMovingDuration,sumDistance,directHeartRate,directCorrectedElevation,sumDuration,directUncorrectedElevation,directTimestamp,directFractionalCadence,directLatitude,directLongitude,sumElapsedDuration,directElevation,directSpeed,directVerticalSpeed,elapsed_s
0.0,0.0,0.0,0.0,123.0,78.4000015258789,0.0,87.19999694824219,1784592832000.0,0.0,-6.42908594571054,106.89376406371593,0.0,78.4000015258789,0.0,,0.0
0.0,0.0,0.0,0.0,123.0,78.4000015258789,1.0,87.4000015258789,1784592833000.0,0.0,-6.42908594571054,106.89376406371593,1.0,78.4000015258789,0.0,0.0,1.0
0.0,0.0,0.0,0.10000000149011612,120.0,78.4000015258789,4.0,87.4000015258789,1784592836000.0,0.0,-6.429085023701191,106.89376406371593,4.0,78.4000015258789,0.0,-0.0010000000474974513,4.0
84.0,168.0,0.0,0.23000000417232513,117.0,78.4000015258789,9.0,87.4000015258789,1784592841000.0,0.0,-6.429084604606032,106.89375886693597,9.0,78.4000015258789,0.0,-0.014999999664723873,9.0
83.0,167.0,14.0,0.6399999856948853,120.0,78.19999694824219,23.0,87.80000305175781,1784592855000.0,0.5,-6.429081000387669,106.89375744201243,23.0,78.19999694824219,0.7369999885559082,-0.0020000000949949026,23.0
0.0,0.0,23.0,4.659999847412109,118.0,78.80000305175781,32.0,87.80000305175781,1784592864000.0,0.0,-6.429119054228067,106.8937763851136,32.0,78.80000305175781,0.9520000219345093,0.05700000002980232,32.0
0.0,0.0,25.0,5.679999828338623,119.0,79.0,34.0,87.80000305175781,1784592866000.0,0.0,-6.429125340655446,106.89378124661744,34.0,79.0,1.2319999933242798,0.06599999964237213,34.0
0.0,0.0,25.0,7.659999847412109,120.0,79.0,41.0,87.80000305175781,1784592873000.0,0.0,-6.4291272684931755,106.89378065988421,41.0,79.0,0.0,0.0,41.0
0.0,0.0,25.0,11.960000038146973,121.0,79.0,47.0,88.4000015258789,1784592879000.0,0.0,-6.429121904075146,106.89378133043647,47.0,79.0,0.0,-0.004000000189989805,47.0
53.0,106.0,25.0,17.6200008392334,124.0,79.19999694824219,51.0,88.5999984741211,1784592883000.0,0.0,-6.42917194403708,106.89377185888588,51.0,79.19999694824219,0.0,0.04699999839067459,51.0
0.0,0.0,25.0,20.950000762939453,126.0,79.19999694824219,54.0,89.0,1784592886000.0,0.0,-6.429200442507863,106.8937623873353,54.0,79.19999694824219,0.0,0.012000000104308128,54.0
49.0,99.0,25.0,26.760000228881836,125.0,79.19999694824219,61.0,89.5999984741211,1784592893000.0,0.5,-6.429231120273471,106.8937499821186,61.0,79.19999694824219,0.0,0.0,61.0
0.0,0.0,25.0,29.219999313354492,122.0,79.19999694824219,63.0,89.5999984741211,1784592895000.0,0.0,-6.429210416972637,106.89375794492662,63.0,79.19999694824219,0.0,-0.003000000026077032,63.0
70.0,140.0,25.0,31.700000762939453,121.0,79.0,66.0,89.80000305175781,1784592898000.0,0.0,-6.429187869653106,106.8937610462308,66.0,79.0,0.0,-0.03500000014901161,66.0
74.0,148.0,25.0,33.15999984741211,118.0,78.80000305175781,69.0,90.19999694824219,1784592901000.0,0.0,-6.429176051169634,106.89375325106084,69.0,78.80000305175781,0.0,-0.07500000298023224,69.0
74.0,148.0,28.0,34.34000015258789,118.0,78.80000305175781,72.0,90.4000015258789,1784592904000.0,0.0,-6.429165741428733,106.89375190995634,72.0,78.80000305175781,0.597000002861023,-0.032999999821186066,72.0
81.0,163.0,34.0,38.56999969482422,117.0,78.5999984741211,78.0,90.5999984741211,1784592910000.0,0.5,-6.4291617181152105,106.89375333487988,78.0,78.5999984741211,1.0820000171661377,-0.0010000000474974513,78.0
81.0,163.0,35.0,39.63999938964844,117.0,78.80000305175781,79.0,90.5999984741211,1784592911000.0,0.5,-6.4291714411228895,106.89375375397503,79.0,78.80000305175781,1.0820000171661377,0.07800000160932541,79.0
0.0,0.0,37.0,41.45000076293945,117.0,78.80000305175781,81.0,90.80000305175781,1784592913000.0,0.0,-6.429187618196011,106.89375241287053,81.0,78.80000305175781,1.2410000562667847,0.04600000008940697,81.0
0.0,0.0,40.0,44.5,120.0,78.80000305175781,84.0,91.19999694824219,1784592916000.0,0.0,-6.429213183000684,106.89374042674899,84.0,78.80000305175781,1.2410000562667847,-0.010999999940395355,84.0
0.0,0.0,43.0,47.439998626708984,122.0,78.80000305175781,87.0,91.80000305175781,1784592919000.0,0.0,-6.429237658157945,106.8937314581126,87.0,78.80000305175781,1.1759999990463257,0.004999999888241291,87.0
0.0,0.0,50.0,49.029998779296875,121.0,79.19999694824219,94.0,92.4000015258789,1784592926000.0,0.0,-6.429234305396676,106.8937488924712,94.0,79.19999694824219,0.9610000252723694,0.04100000113248825,94.0
0.0,0.0,50.0,50.97999954223633,118.0,79.5999984741211,98.0,93.4000015258789,1784592930000.0,0.0,-6.429247464984655,106.89376381225884,98.0,79.5999984741211,0.0,0.09099999815225601,98.0
0.0,0.0,50.0,50.97999954223633,117.0,79.5999984741211,101.0,94.0,1784592933000.0,0.0,-6.429247464984655,106.89376381225884,101.0,79.5999984741211,0.0,0.0,101.0
76.0,153.0,50.0,51.40999984741211,116.0,79.4000015258789,120.0,94.5999984741211,1784592952000.0,0.5,-6.429242184385657,106.89376330934465,120.0,79.4000015258789,0.0,-0.0020000000949949026,120.0
76.0,153.0,50.0,56.84000015258789,116.0,79.5999984741211,123.0,94.5999984741211,1784592955000.0,0.5,-6.429199520498514,106.8937885388732,123.0,79.5999984741211,0.0,0.04899999871850014,123.0
82.0,164.0,54.0,66.5999984741211,119.0,79.5999984741211,127.0,94.5999984741211,1784592959000.0,0.0,-6.4291181322187185,106.89382156357169,127.0,79.5999984741211,1.465000033378601,0.0020000000949949026,127.0
83.0,167.0,57.0,74.12000274658203,121.0,79.4000015258789,130.0,94.80000305175781,1784592962000.0,0.5,-6.429052334278822,106.89383991993964,130.0,79.4000015258789,1.781999945640564,-0.04800000041723251,130.0
83.0,167.0,59.0,78.52999877929688,124.0,79.19999694824219,132.0,94.80000305175781,1784592964000.0,0.5,-6.42901117913425,106.89384025521576,132.0,79.19999694824219,1.875,-0.11599999666213989,132.0
85.0,170.0,64.0,90.87000274658203,125.0,79.5999984741211,137.0,95.4000015258789,1784592969000.0,0.0,-6.42891101539135,106.89388979226351,137.0,79.5999984741211,1.9869999885559082,0.07100000232458115,137.0
84.0,169.0,69.0,103.16000366210938,128.0,79.80000305175781,142.0,97.0,1784592974000.0,0.5,-6.4288062416017056,106.893928097561,142.0,79.80000305175781,2.1459999084472656,0.03500000014901161,142.0
83.0,166.0,71.0,108.04000091552734,130.0,79.80000305175781,144.0,97.5999984741211,1784592976000.0,0.0,-6.4287632424384356,106.89393983222544,144.0,79.80000305175781,2.193000078201294,0.007000000216066837,144.0
83.0,166.0,73.0,112.95999908447266,134.0,79.80000305175781,146.0,98.0,1784592978000.0,0.0,-6.428720410913229,106.8939537461847,146.0,79.80000305175781,2.2300000190734863,0.023000000044703484,146.0
