activity_id,split_index,distance_km,duration_min,pace_min_per_km,avg_hr,max_hr,elevation_gain_m
23732799698,1,1.0,10.27,10.27,137.0,155.0,3.05
23732799698,2,1.0,10.47,10.47,134.0,144.0,6.21
23732799698,3,1.0,10.83,10.83,135.0,146.0,5.89
23732799698,4,1.0,11.06,11.06,138.0,145.0,21.61
23732799698,5,1.0,11.27,11.27,135.0,146.0,16.0
23732799698,6,1.0,10.4,10.4,133.0,155.0,11.81
23732799698,7,1.0,10.29,10.29,133.0,142.0,0.0
23732799698,8,1.0,10.7,10.7,131.0,149.0,9.33
23732799698,9,1.0,10.24,10.24,135.0,148.0,2.5
23732799698,10,0.008,0.05,7.23,125.0,125.0,0.0
