directTimestamp,directSpeed,directLatitude,sumDuration,directDoubleCadence,sumMovingDuration,directRunCadence,directElevation,sumDistance,directFractionalCadence,directHeartRate,sumElapsedDuration,directLongitude,directUncorrectedElevation,directCorrectedElevation,directVerticalSpeed,elapsed_s
1784773274000.0,1.809999942779541,-6.428437437862158,25.0,168.0,16.0,84.0,80.4000015258789,23.739999771118164,0.0,120.0,45.0,106.89404007978737,112.19999694824219,80.4000015258789,0.023000000044703484,45.0
1784773277000.0,2.071000099182129,-6.4283521100878716,28.0,168.0,19.0,84.0,80.19999694824219,32.630001068115234,0.0,123.0,48.0,106.89403873868287,112.19999694824219,80.19999694824219,-0.003000000026077032,48.0
1784773281000.0,2.7249999046325684,-6.428252952173352,32.0,171.0,23.0,85.0,80.19999694824219,44.4900016784668,0.5,125.0,52.0,106.89407947473228,112.19999694824219,80.19999694824219,-0.035999998450279236,52.0
1784773283000.0,2.8369998931884766,-6.428199978545308,34.0,173.0,25.0,86.0,80.0,50.5099983215332,0.5,129.0,54.0,106.89409146085382,112.0,80.0,-0.11100000143051147,54.0
1784773285000.0,2.6410000324249268,-6.428151363506913,36.0,173.0,27.0,86.0,79.80000305175781,55.9900016784668,0.5,132.0,56.0,106.89410110004246,112.0,79.80000305175781,-0.07000000029802322,56.0
1784773286000.0,2.5850000381469727,-6.428132588043809,37.0,173.0,28.0,86.0,79.80000305175781,58.25,0.5,133.0,57.0,106.89410923048854,112.0,79.80000305175781,-0.03799999877810478,57.0
1784773288000.0,2.565999984741211,-6.428095875307918,39.0,171.0,30.0,85.0,79.5999984741211,62.58000183105469,0.5,135.0,59.0,106.89412213861942,112.0,79.5999984741211,-0.0430000014603138,59.0
1784773292000.0,2.3980000019073486,-6.428035022690892,43.0,0.0,34.0,0.0,79.4000015258789,69.30000305175781,0.0,138.0,63.0,106.89412322826684,111.0,79.4000015258789,-0.05400000140070915,63.0
1784773293000.0,2.2950000762939453,-6.428026305511594,44.0,0.0,35.0,0.0,79.4000015258789,70.4800033569336,0.0,138.0,64.0,106.8941165227443,110.80000305175781,79.4000015258789,-0.0560000017285347,64.0
1784773294000.0,2.127000093460083,-6.428017588332295,45.0,0.0,36.0,0.0,79.4000015258789,71.79000091552734,0.0,139.0,65.0,106.89410814084113,110.5999984741211,79.4000015258789,-0.06199999898672104,65.0
1784773298000.0,1.8849999904632568,-6.4279954601079226,45.0,112.0,36.0,56.0,79.0,73.13999938964844,0.0,139.0,69.0,106.89406421966851,110.19999694824219,79.0,,69.0
1784773300000.0,1.3899999856948853,-6.4279914367944,47.0,112.0,38.0,56.0,79.0,76.12000274658203,0.0,139.0,71.0,106.89403815194964,110.19999694824219,79.0,-0.04600000008940697,71.0
1784773303000.0,1.1380000114440918,-6.427991855889559,50.0,0.0,41.0,0.0,79.0,78.70999908447266,0.0,138.0,74.0,106.8940145149827,110.19999694824219,79.0,0.0,74.0
1784773310000.0,0.8960000276565552,-6.427976852282882,57.0,115.0,48.0,57.0,78.4000015258789,88.30000305175781,0.5,138.0,81.0,106.89392658881843,110.0,78.4000015258789,-0.07400000095367432,81.0
1784773317000.0,1.2599999904632568,-6.427966710180044,64.0,115.0,55.0,57.0,78.0,97.52999877929688,0.5,136.0,88.0,106.8938456196338,109.0,78.0,-0.08299999684095383,88.0
1784773321000.0,1.305999994277954,-6.427949275821447,68.0,108.0,59.0,54.0,77.5999984741211,103.2699966430664,0.0,133.0,92.0,106.89379641786218,108.5999984741211,77.5999984741211,-0.07000000029802322,92.0
1784773324000.0,1.2970000505447388,-6.427945252507925,71.0,108.0,62.0,54.0,77.5999984741211,106.27999877929688,0.0,132.0,95.0,106.89376967959106,106.80000305175781,77.5999984741211,0.009999999776482582,95.0
1784773328000.0,1.2410000562667847,-6.427926309406757,75.0,0.0,66.0,0.0,77.80000305175781,110.0,0.0,130.0,99.0,106.89374579116702,105.4000015258789,77.80000305175781,0.03400000184774399,99.0
1784773330000.0,1.2039999961853027,-6.427902923896909,77.0,0.0,68.0,0.0,78.0,112.6500015258789,0.0,129.0,101.0,106.8937502335757,105.19999694824219,78.0,0.08399999886751175,101.0
1784773335000.0,1.1759999990463257,-6.427878281101584,82.0,0.0,73.0,0.0,78.19999694824219,118.16999816894531,0.0,129.0,106.0,106.8937935680151,105.19999694824219,78.19999694824219,0.03500000014901161,106.0
1784773337000.0,1.1480000019073486,-6.42788490280509,84.0,0.0,75.0,0.0,78.0,120.8499984741211,0.0,129.0,108.0,106.89382030628622,105.4000015258789,78.0,-0.024000000208616257,108.0
1784773344000.0,1.25,-6.427927566692233,91.0,168.0,82.0,84.0,78.5999984741211,134.27000427246094,0.0,130.0,115.0,106.89393471926451,110.0,78.5999984741211,0.06499999761581421,115.0
1784773350000.0,1.6419999599456787,-6.427972577512264,97.0,168.0,88.0,84.0,79.0,149.1999969482422,0.0,132.0,121.0,106.89406153745949,115.4000015258789,79.0,0.07599999755620956,121.0
1784773353000.0,1.8569999933242798,-6.427933517843485,100.0,166.0,91.0,83.0,79.0,155.77000427246094,0.0,135.0,124.0,106.89410529099405,115.80000305175781,79.0,0.006000000052154064,124.0
1784773354000.0,1.8849999904632568,-6.427909210324287,101.0,166.0,92.0,83.0,79.0,158.8000030517578,0.0,136.0,125.0,106.89411819912493,115.4000015258789,79.0,-0.017999999225139618,125.0
1784773355000.0,1.9500000476837158,-6.427883980795741,102.0,168.0,93.0,84.0,79.0,161.8800048828125,0.0,137.0,126.0,106.89413010142744,115.0,79.0,0.0,126.0
1784773361000.0,2.071000099182129,-6.427783397957683,108.0,168.0,99.0,84.0,79.0,175.42999267578125,0.0,140.0,132.0,106.8942061252892,113.5999984741211,79.0,0.0,132.0
1784773363000.0,1.6890000104904175,-6.427763365209103,110.0,0.0,101.0,0.0,79.0,177.83999633789062,0.0,141.0,134.0,106.89421685412526,113.4000015258789,79.0,0.0,134.0
1784773364000.0,1.1380000114440918,-6.427747523412108,111.0,0.0,102.0,0.0,79.0,179.6199951171875,0.0,142.0,135.0,106.89421400427818,113.0,79.0,-0.03700000047683716,135.0
1784773371000.0,1.3530000448226929,-6.427651047706604,118.0,0.0,109.0,0.0,78.5999984741211,191.3800048828125,0.0,142.0,142.0,106.89426396042109,109.4000015258789,78.5999984741211,-0.05000000074505806,142.0
1784773380000.0,1.315999984741211,-6.427549123764038,127.0,107.0,118.0,53.0,78.19999694824219,203.19000244140625,0.5,141.0,151.0,106.89428902231157,107.5999984741211,78.19999694824219,-0.04600000008940697,151.0
1784773384000.0,1.315999984741211,-6.427503861486912,131.0,107.0,122.0,53.0,78.0,208.66000366210938,0.5,138.0,155.0,106.89431031234562,107.0,78.0,-0.05999999865889549,155.0
1784773387000.0,1.3339999914169312,-6.427471758797765,134.0,107.0,125.0,53.0,77.80000305175781,212.22000122070312,0.5,138.0,158.0,106.89431198872626,106.80000305175781,77.80000305175781,-0.04100000113248825,158.0
1784773393000.0,1.3339999914169312,-6.427409648895264,140.0,113.0,131.0,56.0,77.5999984741211,219.6999969482422,0.5,136.0,164.0,106.89433596096933,105.80000305175781,77.5999984741211,-0.052000001072883606,164.0
1784773395000.0,1.3339999914169312,-6.427391543984413,142.0,113.0,133.0,56.0,77.4000015258789,222.3699951171875,0.5,136.0,166.0,106.89435222186148,105.19999694824219,77.4000015258789,-0.06199999898672104,166.0
1784773400000.0,1.3339999914169312,-6.427335720509291,147.0,116.0,138.0,58.0,77.0,229.69000244140625,0.0,134.0,171.0,106.89438776113093,103.5999984741211,77.0,-0.06599999964237213,171.0
1784773404000.0,1.3530000448226929,-6.427267994731665,151.0,116.0,142.0,58.0,76.80000305175781,237.77999877929688,0.0,131.0,175.0,106.89441525377333,102.80000305175781,76.80000305175781,-0.0860000029206276,175.0
1784773411000.0,2.8459999561309814,-6.427082335576415,158.0,166.0,149.0,83.0,76.0,258.5400085449219,0.0,130.0,182.0,106.8944413214922,103.0,76.0,-0.10899999737739563,182.0
1784773414000.0,2.9860000610351562,-6.427006563171744,161.0,166.0,152.0,83.0,75.5999984741211,266.95001220703125,0.0,133.0,185.0,106.89444827847183,104.19999694824219,75.5999984741211,-0.0989999994635582,185.0
1784773418000.0,3.0880000591278076,-6.426905393600464,165.0,169.0,156.0,84.0,75.4000015258789,278.1600036621094,0.5,135.0,189.0,106.89445406198502,105.4000015258789,75.4000015258789,-0.07900000363588333,189.0
1784773420000.0,3.0980000495910645,-6.426847139373422,167.0,169.0,158.0,84.0,75.4000015258789,284.75,0.5,137.0,191.0,106.89444308169186,105.5999984741211,75.4000015258789,0.019999999552965164,191.0
1784773424000.0,3.134999990463257,-6.426762230694294,171.0,168.0,162.0,84.0,75.4000015258789,294.3800048828125,0.0,140.0,195.0,106.89442698843777,106.0,75.4000015258789,0.004999999888241291,195.0
1784773427000.0,1.7730000019073486,-6.426730128005147,174.0,108.0,165.0,54.0,75.4000015258789,297.92999267578125,0.0,144.0,198.0,106.89442480914295,106.80000305175781,75.4000015258789,-0.039000000804662704,198.0
1784773433000.0,1.371999979019165,-6.426668269559741,180.0,109.0,171.0,54.0,75.0,304.9800109863281,0.5,146.0,204.0,106.89440972171724,106.19999694824219,75.0,-0.03700000047683716,204.0
1784773442000.0,1.399999976158142,-6.426558466628194,189.0,113.0,180.0,56.0,75.4000015258789,317.29998779296875,0.5,145.0,213.0,106.89439513720572,104.19999694824219,75.4000015258789,0.026000000536441803,213.0
1784773447000.0,1.399999976158142,-6.426504319533706,194.0,110.0,185.0,55.0,75.5999984741211,323.42999267578125,0.0,142.0,218.0,106.89438298344612,105.0,75.5999984741211,0.039000000804662704,218.0
1784773450000.0,1.38100004196167,-6.426474982872605,197.0,116.0,188.0,58.0,75.5999984741211,326.6499938964844,0.0,142.0,221.0,106.89438180997968,104.80000305175781,75.5999984741211,0.03500000014901161,221.0
1784773458000.0,1.3339999914169312,-6.426380937919021,205.0,112.0,196.0,56.0,76.0,337.54998779296875,0.0,139.0,229.0,106.89435875974596,104.4000015258789,76.0,0.041999999433755875,229.0
1784773464000.0,1.343999981880188,-6.426313882693648,211.0,0.0,202.0,0.0,75.80000305175781,345.0899963378906,0.0,136.0,235.0,106.8943475279957,104.4000015258789,75.80000305175781,-0.02500000037252903,235.0
1784773465000.0,1.343999981880188,-6.426302986219525,212.0,0.0,203.0,0.0,75.80000305175781,346.3699951171875,0.0,136.0,236.0,106.89434342086315,104.5999984741211,75.80000305175781,-0.039000000804662704,236.0
1784773468000.0,1.343999981880188,-6.426257975399494,215.0,0.0,206.0,0.0,76.19999694824219,351.5299987792969,0.0,135.0,239.0,106.89433143474162,104.4000015258789,76.19999694824219,0.14499999582767487,239.0
1784773474000.0,3.0880000591278076,-6.4261014852672815,221.0,168.0,212.0,84.0,77.80000305175781,369.32000732421875,0.0,134.0,245.0,106.89429488964379,104.19999694824219,77.80000305175781,0.2529999911785126,245.0
1784773478000.0,3.0510001182556152,-6.425999728962779,225.0,168.0,216.0,84.0,78.4000015258789,381.0199890136719,0.0,137.0,249.0,106.89426647499204,104.19999694824219,78.4000015258789,0.17800000309944153,249.0
1784773480000.0,3.0510001182556152,-6.425946755334735,227.0,167.0,218.0,83.0,78.80000305175781,387.30999755859375,0.5,140.0,251.0,106.8942460231483,104.19999694824219,78.80000305175781,0.20600000023841858,251.0
1784773482000.0,3.125999927520752,-6.425891099497676,229.0,167.0,220.0,83.0,79.19999694824219,393.79998779296875,0.5,143.0,253.0,106.8942272476852,103.80000305175781,79.19999694824219,0.20200000703334808,253.0
1784773484000.0,3.1540000438690186,-6.4258414786309,231.0,167.0,222.0,83.0,79.80000305175781,399.55999755859375,0.5,146.0,255.0,106.8942116573453,102.80000305175781,79.80000305175781,0.23800000548362732,255.0
1784773485000.0,3.1540000438690186,-6.425814824178815,232.0,167.0,223.0,83.0,80.0,402.6300048828125,0.5,147.0,256.0,106.89420369453728,102.5999984741211,80.0,0.3059999942779541,256.0
1784773487000.0,3.134999990463257,-6.425759168341756,234.0,167.0,225.0,83.0,80.4000015258789,409.4200134277344,0.5,148.0,258.0,106.89417787827551,102.19999694824219,80.4000015258789,0.19300000369548798,258.0
1784773490000.0,3.0510001182556152,-6.425704518333077,237.0,167.0,228.0,83.0,80.80000305175781,415.92999267578125,0.5,151.0,261.0,106.89415583387017,102.0,80.80000305175781,0.10599999874830246,261.0
1784773493000.0,1.7079999446868896,-6.4256697334349155,240.0,167.0,231.0,83.0,81.0,420.4200134277344,0.5,153.0,264.0,106.89413462765515,102.0,81.0,0.09399999678134918,264.0
1784773498000.0,1.7079999446868896,-6.425618520006537,245.0,115.0,236.0,57.0,81.0,426.510009765625,0.5,155.0,269.0,106.89411534927785,104.0,81.0,0.004999999888241291,269.0
1784773499000.0,1.6419999599456787,-6.425607288256288,246.0,115.0,237.0,57.0,81.0,428.0,0.5,156.0,270.0,106.894107805565,104.4000015258789,81.0,0.04100000113248825,270.0
1784773502000.0,1.305999994277954,-6.425572084262967,249.0,115.0,240.0,57.0,81.19999694824219,432.3299865722656,0.5,155.0,273.0,106.89409146085382,105.80000305175781,81.19999694824219,0.017000000923871994,273.0
1784773507000.0,1.2599999904632568,-6.425502095371485,254.0,112.0,245.0,56.0,81.4000015258789,440.42999267578125,0.0,153.0,278.0,106.89406958408654,106.5999984741211,81.4000015258789,0.04399999976158142,278.0
1784773510000.0,1.2970000505447388,-6.425468483939767,257.0,0.0,248.0,0.0,81.5999984741211,444.2900085449219,0.0,150.0,281.0,106.89405877143145,106.5999984741211,81.5999984741211,0.06499999761581421,281.0
1784773516000.0,1.3899999856948853,-6.42539145424962,263.0,113.0,254.0,56.0,81.4000015258789,453.1099853515625,0.5,149.0,287.0,106.89403773285449,106.19999694824219,81.4000015258789,-0.03400000184774399,287.0
1784773522000.0,1.3899999856948853,-6.42532255500555,269.0,112.0,260.0,56.0,81.19999694824219,461.20001220703125,0.0,150.0,293.0,106.8940142635256,107.19999694824219,81.19999694824219,-0.027000000700354576,293.0
