activity_id,split_index,distance_km,duration_min,pace_min_per_km,avg_hr,max_hr,elevation_gain_m
24208269792,1,1.0,8.96,8.96,134.0,145.0,5.16
24208269792,2,0.587,6.04,10.29,133.0,139.0,7.34
24208269792,3,0.05,0.63,12.71,134.0,139.0,0.0
24208269792,4,0.058,0.33,5.7,135.0,144.0,0.0
24208269792,5,0.08,0.75,9.36,147.0,152.0,0.0
24208269792,6,0.055,0.33,6.01,143.0,149.0,0.0
24208269792,7,0.077,0.75,9.69,149.0,154.0,0.0
24208269792,8,0.059,0.33,5.63,145.0,151.0,0.0
24208269792,9,0.07,0.75,10.79,153.0,159.0,0.0
24208269792,10,0.062,0.33,5.35,146.0,152.0,0.0
24208269792,11,0.075,0.75,9.99,155.0,160.0,0.0
24208269792,12,0.066,0.33,5.08,148.0,153.0,0.0
24208269792,13,0.067,0.75,11.13,156.0,160.0,0.0
24208269792,14,0.065,0.33,5.11,151.0,156.0,0.0
24208269792,15,0.072,0.75,10.45,156.0,159.0,7.52
24208269792,16,0.062,0.33,5.42,148.0,154.0,0.0
24208269792,17,0.067,0.75,11.13,158.0,165.0,0.0
24208269792,18,0.058,0.33,5.76,151.0,156.0,0.0
24208269792,19,0.072,0.75,10.37,158.0,162.0,0.0
24208269792,20,0.069,0.33,4.81,152.0,156.0,0.0
24208269792,21,0.069,0.75,10.88,158.0,163.0,0.0
24208269792,22,0.067,0.33,4.95,153.0,157.0,3.25
24208269792,23,0.069,0.75,10.86,161.0,164.0,0.0
24208269792,24,1.0,10.57,10.57,138.0,156.0,13.52
24208269792,25,0.39,4.43,11.36,133.0,140.0,0.0
