directRunCadence,sumDistance,directFractionalCadence,directSpeed,sumMovingDuration,directLatitude,directElevation,directDoubleCadence,sumDuration,directLongitude,directCorrectedElevation,sumElapsedDuration,directUncorrectedElevation,directHeartRate,directTimestamp,directVerticalSpeed,elapsed_s
78.0,112.5999984741211,0.5,1.3250000476837158,73.0,-1.2769054155796766,7.599999904632568,157.0,74.0,116.84016480110586,7.599999904632568,74.0,23.200000762939453,119.0,1785540269000.0,0.03799999877810478,74.0
76.0,122.41000366210938,0.5,1.3250000476837158,79.0,-1.2769228499382734,7.599999904632568,153.0,80.0,116.84007176198065,7.599999904632568,80.0,23.799999237060547,118.0,1785540275000.0,0.004999999888241291,80.0
75.0,125.02999877929688,0.0,1.3250000476837158,81.0,-1.2769246939569712,7.400000095367432,150.0,82.0,116.84004611335695,7.400000095367432,82.0,24.0,119.0,1785540277000.0,-0.10700000077486038,82.0
76.0,131.5399932861328,0.0,1.315999984741211,85.0,-1.2769304774701595,6.800000190734863,152.0,86.0,116.83998777531087,6.800000190734863,86.0,24.600000381469727,117.0,1785540281000.0,-0.15700000524520874,86.0
76.0,132.97999572753906,0.0,1.315999984741211,86.0,-1.2769315671175718,6.800000190734863,152.0,87.0,116.83997495099902,6.800000190734863,87.0,24.799999237060547,117.0,1785540282000.0,-0.1379999965429306,87.0
77.0,145.13999938964844,0.5,1.343999981880188,93.0,-1.2769514322280884,5.599999904632568,155.0,94.0,116.8398652318865,5.599999904632568,94.0,25.399999618530273,118.0,1785540289000.0,-0.16899999976158142,94.0
80.0,154.77000427246094,0.0,1.3899999856948853,98.0,-1.2769894860684872,4.800000190734863,160.0,99.0,116.8397859390825,4.800000190734863,99.0,25.600000381469727,121.0,1785540294000.0,-0.12700000405311584,99.0
80.0,158.9199981689453,0.0,1.4179999828338623,100.0,-1.2769873067736626,4.800000190734863,160.0,101.0,116.83974897488952,4.800000190734863,101.0,25.799999237060547,123.0,1785540296000.0,-0.06700000166893005,101.0
77.0,165.35000610351562,0.5,1.4179999828338623,105.0,-1.277005160227418,4.599999904632568,155.0,106.0,116.83969365432858,4.599999904632568,106.0,26.600000381469727,126.0,1785540301000.0,-0.03999999910593033,106.0
76.0,169.91000366210938,0.5,1.38100004196167,108.0,-1.2770243547856808,4.400000095367432,153.0,109.0,116.83965710923076,4.400000095367432,109.0,26.799999237060547,126.0,1785540304000.0,-0.023000000044703484,109.0
78.0,183.16000366210938,0.0,1.4279999732971191,116.0,-1.2770730536431074,4.400000095367432,156.0,117.0,116.83954789303243,4.400000095367432,117.0,24.200000762939453,126.0,1785540312000.0,-0.02199999988079071,117.0
77.0,187.82000732421875,0.5,1.4739999771118164,119.0,-1.2770782504230738,4.599999904632568,155.0,120.0,116.83950623497367,4.599999904632568,120.0,23.399999618530273,127.0,1785540315000.0,0.07199999690055847,120.0
78.0,192.5,0.5,1.4930000305175781,122.0,-1.2770858779549599,4.800000190734863,157.0,123.0,116.83946466073394,4.800000190734863,123.0,23.399999618530273,126.0,1785540318000.0,0.09099999815225601,123.0
