sumElapsedDuration,directSpeed,directUncorrectedElevation,directTimestamp,sumDuration,directRunCadence,directCorrectedElevation,directLatitude,directDoubleCadence,directElevation,directLongitude,sumDistance,directFractionalCadence,directHeartRate,sumMovingDuration,directVerticalSpeed,elapsed_s
1549.0,1.277999997138977,108.80000305175781,1787701977000.0,1549.0,0.0,98.19999694824219,-6.436043344438076,0.0,98.19999694824219,106.88996085897088,2665.010009765625,0.0,161.0,1549.0,-0.06199999898672104,1549.0
1553.0,1.277999997138977,108.80000305175781,1787701981000.0,1553.0,0.0,97.80000305175781,-6.4359907899051905,0.0,97.80000305175781,106.88997502438724,2671.0,0.0,158.0,1553.0,-0.0820000022649765,1553.0
1559.0,1.305999994277954,108.80000305175781,1787701987000.0,1559.0,58.0,97.4000015258789,-6.435917112976313,117.0,97.4000015258789,106.8899979069829,2679.510009765625,0.5,158.0,1559.0,-0.07999999821186066,1559.0
1560.0,1.305999994277954,109.0,1787701988000.0,1560.0,58.0,97.19999694824219,-6.435904623940587,116.0,97.19999694824219,106.89000151120126,2680.93994140625,0.0,158.0,1560.0,-0.10899999737739563,1560.0
1567.0,1.3250000476837158,110.4000015258789,1787701995000.0,1567.0,58.0,96.5999984741211,-6.435827007517219,116.0,96.5999984741211,106.89003311097622,2690.2099609375,0.0,155.0,1567.0,-0.08699999749660492,1567.0
1571.0,1.3250000476837158,111.0,1787701999000.0,1571.0,58.0,96.4000015258789,-6.435790127143264,116.0,96.4000015258789,106.89005264081061,2694.820068359375,0.0,152.0,1571.0,-0.041999999433755875,1571.0
1582.0,1.277999997138977,111.19999694824219,1787702010000.0,1582.0,57.0,96.0,-6.435674373060465,115.0,96.0,106.89010351896286,2708.860107421875,0.5,150.0,1582.0,-0.041999999433755875,1582.0
1588.0,1.2970000505447388,111.19999694824219,1787702016000.0,1588.0,59.0,95.4000015258789,-6.435618381947279,119.0,95.4000015258789,106.89015749841928,2717.469970703125,0.5,147.0,1588.0,-0.09099999815225601,1588.0
1591.0,1.305999994277954,111.4000015258789,1787702019000.0,1591.0,59.0,95.0,-6.435590218752623,119.0,95.0,106.89018700271845,2721.97998046875,0.5,144.0,1591.0,-0.10300000011920929,1591.0
1598.0,1.38100004196167,111.4000015258789,1787702026000.0,1598.0,60.0,94.4000015258789,-6.435537161305547,120.0,94.4000015258789,106.89025791361928,2731.719970703125,0.0,143.0,1598.0,-0.09099999815225601,1598.0
1601.0,1.38100004196167,111.5999984741211,1787702029000.0,1601.0,57.0,94.4000015258789,-6.435525678098202,114.0,94.4000015258789,106.89028766937554,2735.239990234375,0.0,144.0,1601.0,-0.035999998450279236,1601.0
1605.0,1.343999981880188,111.4000015258789,1787702033000.0,1605.0,56.0,94.19999694824219,-6.4355057291686535,113.0,94.19999694824219,106.89032044261694,2739.5,0.5,144.0,1605.0,-0.028999999165534973,1605.0
1613.0,1.315999984741211,110.19999694824219,1787702041000.0,1613.0,0.0,94.0,-6.435471111908555,0.0,94.0,106.89041239209473,2750.3798828125,0.0,144.0,1613.0,-0.04100000113248825,1613.0
1622.0,1.305999994277954,108.4000015258789,1787702050000.0,1622.0,58.0,93.80000305175781,-6.435435824096203,117.0,93.80000305175781,106.89051817171276,2762.719970703125,0.5,142.0,1622.0,-0.017999999225139618,1622.0
1632.0,1.2970000505447388,108.0,1787702060000.0,1632.0,57.0,93.80000305175781,-6.4353917352855206,115.0,93.80000305175781,106.89062093384564,2775.090087890625,0.5,140.0,1632.0,0.004999999888241291,1632.0
1637.0,1.2879999876022339,108.19999694824219,1787702065000.0,1637.0,58.0,93.80000305175781,-6.435376312583685,117.0,93.80000305175781,106.8906779307872,2781.60009765625,0.5,137.0,1637.0,0.01899999938905239,1637.0
1642.0,1.2879999876022339,108.0,1787702070000.0,1642.0,55.0,94.0,-6.435352088883519,110.0,94.0,106.89074607565999,2789.659912109375,0.0,137.0,1642.0,0.014000000432133675,1642.0
1652.0,1.315999984741211,109.0,1787702080000.0,1652.0,57.0,94.0,-6.435312610119581,114.0,94.0,106.89085311256349,2802.320068359375,0.0,135.0,1652.0,0.009999999776482582,1652.0
1655.0,1.305999994277954,109.19999694824219,1787702083000.0,1655.0,57.0,94.0,-6.435300288721919,115.0,94.0,106.89088814891875,2806.419921875,0.5,131.0,1655.0,0.012000000104308128,1655.0
1663.0,1.315999984741211,108.19999694824219,1787702091000.0,1663.0,56.0,94.80000305175781,-6.435268772765994,113.0,94.80000305175781,106.89098789356649,2818.080078125,0.5,131.0,1663.0,0.07900000363588333,1663.0
1674.0,1.3339999914169312,106.80000305175781,1787702102000.0,1674.0,0.0,95.4000015258789,-6.435218816623092,0.0,95.4000015258789,106.89110524021089,2832.18994140625,0.0,130.0,1674.0,0.06700000166893005,1674.0
1678.0,1.3250000476837158,106.80000305175781,1787702106000.0,1678.0,57.0,95.80000305175781,-6.435201046988368,114.0,95.80000305175781,106.89115033484995,2837.590087890625,0.0,129.0,1678.0,0.06599999964237213,1678.0
1682.0,1.3339999914169312,107.19999694824219,1787702110000.0,1682.0,58.0,95.80000305175781,-6.43517573364079,117.0,95.80000305175781,106.89119811169803,2843.570068359375,0.5,129.0,1682.0,0.03500000014901161,1682.0
