activity_id,split_index,distance_km,duration_min,pace_min_per_km,avg_hr,max_hr,elevation_gain_m
23929491336,24,0.537,5.55,10.32,139.0,146.0,5.0
23955906640,1,0.394,5.0,12.7,129.0,140.0,5.77
23955906640,2,1.0,12.64,12.64,124.0,132.0,18.74
23955906640,3,0.193,2.36,12.23,124.0,130.0,3.96
23955906640,4,1.0,7.99,7.99,148.0,172.0,5.27
23955906640,5,0.26,2.01,7.73,160.0,170.0,0.0
23955906640,6,0.427,5.0,11.72,137.0,162.0,0.0
23992387306,1,0.445,5.0,11.22,125.0,133.0,10.56
23992387306,2,1.0,12.13,12.13,129.0,145.0,18.33
23992387306,3,1.0,11.19,11.19,129.0,141.0,0.0
23992387306,4,0.652,6.68,10.25,127.0,133.0,7.13
23992387306,5,0.967,10.0,10.34,128.0,136.0,0.0
23992387306,6,0.408,5.0,12.26,122.0,135.0,17.63
24020794052,1,1.0,11.19,11.19,118.0,129.0,21.58
24020794052,2,0.347,3.81,10.97,124.0,128.0,6.21
24020794052,3,0.018,0.23,13.09,122.0,123.0,0.0
24020794052,4,0.05,0.33,6.71,125.0,134.0,0.0
24020794052,5,0.068,0.75,11.0,141.0,145.0,0.0
24020794052,6,0.053,0.33,6.27,139.0,142.0,0.0
24020794052,7,0.07,0.75,10.69,147.0,153.0,0.0
24020794052,8,0.058,0.33,5.71,142.0,149.0,4.36
24020794052,9,0.066,0.75,11.38,150.0,158.0,0.0
24020794052,10,0.064,0.33,5.18,139.0,143.0,0.0
24020794052,11,0.074,0.75,10.14,145.0,151.0,0.0
24020794052,12,0.067,0.33,4.95,136.0,143.0,0.0
24020794052,13,0.078,0.75,9.58,145.0,149.0,0.0
24020794052,14,0.067,0.33,4.97,137.0,144.0,8.93
24020794052,15,0.079,0.75,9.54,149.0,155.0,0.0
24020794052,16,0.07,0.33,4.77,139.0,149.0,0.0
24020794052,17,0.079,0.75,9.52,153.0,160.0,0.0
24020794052,18,0.067,0.33,4.98,143.0,147.0,0.0
24020794052,19,0.086,0.75,8.74,155.0,159.0,0.0
24020794052,20,0.057,0.33,5.84,155.0,157.0,0.0
24020794052,21,0.072,0.75,10.41,155.0,160.0,0.0
24020794052,22,0.06,0.33,5.58,143.0,147.0,0.0
24020794052,23,0.075,0.75,10.02,152.0,158.0,0.0
24020794052,24,1.0,10.52,10.52,127.0,146.0,8.49
24020794052,25,0.389,4.48,11.52,123.0,128.0,4.09
24046413854,1,0.451,5.0,11.09,123.0,135.0,5.64
24046413854,2,1.0,11.19,11.19,126.0,131.0,22.74
24046413854,3,0.801,8.81,10.99,127.0,135.0,15.38
24046413854,4,1.0,8.14,8.14,152.0,166.0,2.9
24046413854,5,0.225,1.86,8.26,162.0,167.0,0.0
24046413854,6,0.369,5.0,13.56,137.0,162.0,8.79
